ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
102,0,0,0,0,3,258,0,0.066666667,0,0,May,3,2,3,4,Returning_Visitor,TRUE,FALSE
103,3,223,1,24,27,1460.566667,0,0.006666667,0,0,Mar,2,2,8,2,New_Visitor,TRUE,FALSE
104,0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,2,5,3,Returning_Visitor,TRUE,FALSE
105,2,37.5,0,0,12,375,0,0.039583333,43.99,0,May,2,2,3,2,Returning_Visitor,FALSE,TRUE
106,1,0,3,447.5,27,1381.75,0.006896552,0.034482759,0,0,Nov,2,2,1,2,Returning_Visitor,TRUE,FALSE
107,0,0,0,0,7,331,0,0.014285714,0,0,Nov,1,1,7,10,Returning_Visitor,TRUE,FALSE
108,0,0,0,0,41,2997.083333,0.004878049,0.021138211,36.8670177,0,Dec,2,2,1,2,Returning_Visitor,TRUE,FALSE
109,6,17,0,0,51,1056.616667,0.016734694,0.036472303,0,0.8,May,2,2,3,11,Returning_Visitor,FALSE,FALSE
110,0,0,0,0,29,594.9666667,0.013793103,0.022024757,0,0,May,2,2,3,2,Returning_Visitor,FALSE,FALSE
111,0,0,0,0,25,981,0.024,0.048,15.3956,0,May,2,4,3,1,Returning_Visitor,FALSE,TRUE
112,4,68.75,0,0,23,585.65,0,0.008695652,0,0,Dec,8,1,1,2,New_Visitor,TRUE,FALSE
113,0,0,0,0,89,1638.888095,0.014367816,0.040659551,0,0.8,May,2,2,6,11,Returning_Visitor,FALSE,FALSE
114,0,0,0,0,18,356.5,0.0125,0.025,0,0.6,May,2,2,3,2,New_Visitor,FALSE,FALSE
115,0,0,0,0,10,225.4666667,0,0.05,0,0.4,Feb,1,1,8,3,Returning_Visitor,FALSE,FALSE
116,2,112.9,0,0,32,505.55,0,0.003225806,0,0,Oct,2,2,6,2,New_Visitor,FALSE,FALSE
117,1,28.2,1,36.2,130,9447.578514,0.012661499,0.025758194,0,0,Sep,1,2,5,1,Returning_Visitor,FALSE,FALSE
118,13,913.5222222,3,141.88,29,1293.652222,0.002631579,0.020570175,1.483746347,0,Aug,2,2,4,2,Returning_Visitor,TRUE,FALSE
119,1,47,0,0,11,197.5,0,0.025,0,0,May,3,2,1,3,New_Visitor,FALSE,FALSE
120,1,11,0,0,8,98.56666667,0.066666667,0.101666667,0,0,Sep,1,8,3,1,Returning_Visitor,TRUE,FALSE
121,0,0,0,0,10,693.5,0,0.022222222,40.43377778,0,May,2,2,1,4,New_Visitor,FALSE,TRUE
122,2,132.4,0,0,11,296.3,0,0.015384615,0,0,Sep,2,4,3,2,New_Visitor,FALSE,FALSE
123,0,0,0,0,5,58,0,0.04,0,0,May,2,2,4,3,Returning_Visitor,FALSE,FALSE
124,0,0,0,0,37,918.5416667,0.005405405,0.005315315,0,0,Nov,1,1,1,2,New_Visitor,TRUE,TRUE
125,0,0,0,0,2,27,0.15,0.15,0,0,Feb,1,1,7,2,Returning_Visitor,FALSE,FALSE
126,2,33,0,0,22,460.6666667,0,0.025,0,0.6,May,3,2,3,1,Returning_Visitor,FALSE,FALSE
127,0,0,1,97,143,8060.963948,0.002923977,0.020798504,0,0,Nov,2,2,7,2,Returning_Visitor,FALSE,FALSE
128,0,0,1,5,66,2537.45,0.003956044,0.022177156,0,0.4,May,2,6,1,4,Returning_Visitor,FALSE,FALSE
129,4,1660.3,0,0,2,45.7,0,0.016666667,113.9293434,0,Sep,2,10,1,2,Returning_Visitor,FALSE,TRUE
130,0,0,0,0,13,223.4166667,0,0.023076923,0,0,Dec,2,4,1,2,Returning_Visitor,FALSE,FALSE
131,0,0,0,0,3,115,0,0.066666667,0,0,May,2,2,6,13,Returning_Visitor,FALSE,FALSE
132,6,571.5,0,0,49,1196.25,0.007843137,0.018954248,0,0,Dec,2,2,3,13,Returning_Visitor,TRUE,FALSE
133,0,0,1,14.75,30,2445.066667,0.033333333,0.026888889,0,0,Dec,3,2,3,3,Returning_Visitor,FALSE,FALSE
134,2,44.3125,2,7,39,2447.548611,0.028354978,0.057999382,5.291989149,0,Nov,1,1,9,1,Returning_Visitor,TRUE,FALSE
135,0,0,0,0,26,694.3,0.023076923,0.036410256,0,0,Mar,3,2,2,3,Returning_Visitor,TRUE,FALSE
136,4,142.5,0,0,56,1885.33744,0.010714286,0.038102106,5.04016763,0,Nov,2,5,3,11,Returning_Visitor,FALSE,TRUE
137,0,0,0,0,42,2084.479524,0.004761905,0.014920635,0,0,Oct,1,1,1,2,Returning_Visitor,FALSE,FALSE
138,0,0,0,0,7,212,0.028571429,0.028571429,0,0.4,May,3,3,5,1,Returning_Visitor,FALSE,FALSE
139,0,0,0,0,1,0,0.2,0.2,0,0,Mar,1,1,1,1,Returning_Visitor,FALSE,FALSE
140,1,8,2,61.5,31,1126.25,0,0.024242424,0,0,Nov,4,2,1,2,Returning_Visitor,FALSE,FALSE
141,1,5,0,0,6,119.6,0,0.014285714,0,0,Jul,2,2,1,2,New_Visitor,FALSE,TRUE
142,0,0,0,0,25,948.3428571,0,0.009,0,0,Nov,2,4,1,3,Returning_Visitor,FALSE,FALSE
143,0,0,0,0,2,87,0,0.033333333,0,0,Nov,3,2,4,11,Returning_Visitor,FALSE,FALSE
144,0,0,0,0,17,2186.961538,0.01875,0.02422619,0,0,Dec,1,1,1,10,Returning_Visitor,FALSE,FALSE
145,1,0,0,0,1,0,0.2,0.2,0,0,Nov,3,2,3,8,Returning_Visitor,FALSE,TRUE
146,3,29,0,0,57,1191.8875,0.019298246,0.030732714,0,0,Nov,2,2,1,2,Returning_Visitor,TRUE,FALSE
147,3,96.8,0,0,29,2041.626667,0.026075269,0.047324629,0,0,Sep,2,2,3,1,Returning_Visitor,FALSE,FALSE
148,0,0,0,0,1,12,0,0.1,0,0,May,1,1,4,1,Returning_Visitor,TRUE,FALSE
149,0,0,0,0,6,119,0,0.033333333,0,0,Mar,3,2,7,1,Returning_Visitor,TRUE,FALSE
150,0,0,0,0,19,392,0.021052632,0.052631579,0,0,Mar,2,2,5,1,Returning_Visitor,TRUE,FALSE
151,0,0,0,0,29,873.75,0,0.031034483,0,0,Nov,2,2,5,2,Returning_Visitor,TRUE,TRUE
152,1,16.25,0,0,34,456.525,0.006060606,0.03030303,0,0,Nov,1,1,4,1,Returning_Visitor,TRUE,FALSE
153,0,0,2,861,12,2250.35,0.014285714,0.030952381,0,0,Nov,1,1,3,2,Returning_Visitor,TRUE,FALSE
154,0,0,0,0,16,360,0,0.01875,0,0,May,2,2,2,1,Returning_Visitor,FALSE,FALSE
155,23,335.1309524,5,399.8,88,1839.098106,0.015758703,0.031587556,0,0,Aug,3,2,3,2,Returning_Visitor,TRUE,FALSE
156,1,175.48,0,0,98,12449.9,0.002291667,0.031102504,0,0,June,2,2,1,5,Returning_Visitor,FALSE,FALSE
157,14,260.7361111,3,186.5,51,2921.902778,0.013661202,0.02989071,8.339171985,0,Nov,4,2,7,1,Returning_Visitor,TRUE,TRUE
158,4,33,0,0,35,702.9166667,0,0.005428571,0,0,Dec,4,1,1,2,New_Visitor,FALSE,FALSE
159,2,7,0,0,3,66,0,0.066666667,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
160,0,0,0,0,3,106.5,0,0.033333333,0,0,May,3,2,2,13,Returning_Visitor,FALSE,FALSE
161,0,0,0,0,14,838.55,0,0.016783217,55.23646154,0,May,1,1,3,4,Returning_Visitor,FALSE,TRUE
162,15,190.55,2,6,21,280.65,0.031313131,0.043198653,0,0,Oct,1,1,7,3,Returning_Visitor,FALSE,FALSE
163,3,117,0,0,5,68,0,0.033333333,0,1,May,2,2,6,5,New_Visitor,TRUE,FALSE
164,0,0,0,0,4,159.2,0.05,0.066666667,0,0,June,3,2,5,13,Returning_Visitor,TRUE,FALSE
165,0,0,0,0,7,1721.666667,0.038095238,0.038571429,0,0,Nov,1,1,3,3,Returning_Visitor,FALSE,FALSE
166,2,36.5,0,0,32,770.375,0,0.01372549,0,0,Dec,2,2,3,2,Returning_Visitor,FALSE,FALSE
167,0,0,0,0,13,208.8333333,0.030769231,0.088461538,0,0.4,May,2,2,6,4,Returning_Visitor,FALSE,FALSE
168,1,0,0,0,8,436,0,0.022222222,0,0,Mar,2,4,6,1,Returning_Visitor,TRUE,FALSE
169,0,0,0,0,5,404.5,0,0.05,0,0,Nov,2,2,1,13,Returning_Visitor,FALSE,FALSE
170,0,0,0,0,19,696.875,0.010526316,0.035087719,0,0,Dec,1,2,4,2,Returning_Visitor,FALSE,FALSE
171,3,149.0666667,0,0,19,285.6166667,0.019047619,0.019047619,0,0,Nov,3,2,1,2,Returning_Visitor,FALSE,FALSE
172,0,0,2,172,32,1227.047222,0.005882353,0.015787285,6.380862745,0,May,2,2,1,6,Returning_Visitor,FALSE,FALSE
173,0,0,0,0,21,517.5416667,0,0.010526316,16.1585582,0,Nov,1,1,3,8,Returning_Visitor,FALSE,TRUE
174,0,0,0,0,30,1281,0.006666667,0.02,0,0,Mar,2,4,2,1,Returning_Visitor,FALSE,FALSE
175,0,0,0,0,3,0,0.2,0.2,0,0,Nov,2,7,2,1,Returning_Visitor,FALSE,FALSE
176,2,78,0,0,22,325,0,0.007246377,19.10349568,0,Dec,4,1,3,1,Returning_Visitor,TRUE,TRUE
177,0,0,0,0,5,0,0.2,0.2,0,0,May,3,2,6,13,Returning_Visitor,FALSE,FALSE
178,0,0,0,0,11,123,0,0.036363636,0,0,May,2,2,4,13,Returning_Visitor,FALSE,FALSE
179,2,71.1,0,0,11,529.8,0,0.004545455,0,0,Oct,2,2,2,2,Returning_Visitor,FALSE,FALSE
180,1,35,1,49.5,11,1464,0,0.020512821,32.946,0.2,May,2,2,4,4,Returning_Visitor,FALSE,TRUE
181,6,96,4,141.1666667,50,2871.262932,0.001851852,0.008161036,11.80233651,0,May,1,1,1,2,Returning_Visitor,FALSE,FALSE
182,2,61.5,0,0,6,99,0,0.008333333,0,0,Oct,1,1,6,3,Returning_Visitor,FALSE,FALSE
183,1,3,0,0,40,624.75,0,0.014634146,0,0,Mar,3,7,3,3,Returning_Visitor,FALSE,FALSE
184,0,0,0,0,8,359,0,0.075,0,0.4,May,1,1,3,3,Returning_Visitor,FALSE,FALSE
185,1,14,1,0,14,710.25,0,0.017777778,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
186,7,144.4615385,4,167.1666667,111,2312.337853,0.005128205,0.013887559,8.191922892,0,Nov,1,1,1,2,Returning_Visitor,FALSE,TRUE
187,1,5.5,3,169.2,14,517.66,0.011111111,0.022222222,50.18313917,0,Jul,3,2,1,2,Returning_Visitor,TRUE,FALSE
188,2,20,3,402,85,3881.79359,0.00453159,0.039115224,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
189,0,0,1,14,104,7181.877778,0.008843537,0.023737786,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
190,0,0,2,163,62,813.0519481,0.003225806,0.011827957,9.311854839,0,May,2,2,5,2,Returning_Visitor,TRUE,FALSE
191,4,26,0,0,235,10046.80771,0.007670851,0.022527689,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,TRUE
192,0,0,0,0,18,410.9166667,0.105263158,0.119473684,0,1,May,3,2,4,13,Returning_Visitor,TRUE,FALSE
193,10,317.9583333,4,821,20,781.425,0,0.002666667,0,0,Dec,2,2,7,2,Returning_Visitor,FALSE,FALSE
194,0,0,0,0,12,259.5,0.008333333,0.033333333,0,0,May,2,4,6,6,Returning_Visitor,FALSE,FALSE
195,0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,1,3,Returning_Visitor,FALSE,FALSE
196,0,0,0,0,56,4377.983333,0.004285714,0.022295918,0,0.8,May,4,1,1,4,Returning_Visitor,FALSE,FALSE
197,0,0,0,0,1,0,0.2,0.2,0,0,Nov,3,2,1,13,Returning_Visitor,FALSE,FALSE
198,0,0,1,90,11,1056.5,0.018181818,0.054545455,0,0,Mar,4,2,1,2,Returning_Visitor,FALSE,FALSE
199,0,0,0,0,1,0,0.2,0.2,0,0.2,May,1,2,3,4,Returning_Visitor,FALSE,FALSE
200,1,2,0,0,5,86.6,0,0.1,0,0,Sep,3,2,3,2,Returning_Visitor,FALSE,FALSE
201,3,58,0,0,23,364.1666667,0.004,0.02,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE,FALSE
202,4,68.66666667,0,0,14,617.15,0,0.004444444,9.253161679,0,Sep,1,1,6,5,New_Visitor,FALSE,TRUE
203,4,76.125,0,0,13,487.4583333,0,0.024444444,0,0,Dec,2,4,8,2,Returning_Visitor,FALSE,FALSE
204,0,0,5,663.9166667,47,2059.7,0.005769231,0.033243423,0,0,Dec,3,2,3,6,Returning_Visitor,FALSE,FALSE
205,0,0,0,0,6,93,0.066666667,0.083333333,0,0,Nov,4,2,3,13,Returning_Visitor,FALSE,FALSE
206,5,44,0,0,54,1391.733333,0.005357143,0.022619048,0,0,Dec,2,2,4,1,Returning_Visitor,FALSE,FALSE
207,0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,1,3,Returning_Visitor,FALSE,FALSE
208,0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,2,1,13,Returning_Visitor,FALSE,FALSE
209,0,0,1,0,28,2743.216667,0.020689655,0.042528736,0,0,Mar,2,5,2,1,Returning_Visitor,FALSE,FALSE
210,0,0,0,0,6,136.5,0,0.033333333,0,0,Mar,3,3,1,2,Returning_Visitor,FALSE,FALSE
211,2,93,3,808.5,33,1310.472222,0.018518519,0.044312169,0,0.4,May,2,2,6,4,Returning_Visitor,FALSE,FALSE
212,4,118.5,1,8.5,62,2910.632251,0.005833333,0.017587302,25.05062136,0,Nov,3,2,1,2,Returning_Visitor,FALSE,TRUE
213,0,0,0,0,7,155,0.066666667,0.1,0,0,May,2,2,1,4,Returning_Visitor,FALSE,FALSE
214,4,41.33333333,0,0,136,4569.904365,0,0.00891253,0,0.8,May,2,2,4,4,Returning_Visitor,FALSE,FALSE
215,7,105.4666667,0,0,44,778.9666667,0,0.004166667,37.92414395,0,Aug,2,2,6,2,New_Visitor,FALSE,TRUE
216,0,0,0,0,7,276.1666667,0.025,0.05,55.31956658,0,Nov,2,2,1,8,Returning_Visitor,FALSE,FALSE
217,4,206.25,0,0,16,572.65,0,0.011111111,10.17711218,0,Sep,3,2,1,4,Returning_Visitor,TRUE,TRUE
218,1,50.33333333,0,0,21,586.1892857,0,0.005555556,0,0.6,May,1,1,1,2,Returning_Visitor,FALSE,FALSE
219,0,0,0,0,3,39.66666667,0,0.033333333,0,0,Mar,2,4,1,10,Returning_Visitor,FALSE,FALSE
220,2,29,1,14,106,3825.102381,0.007592593,0.039827675,0,1,May,2,2,4,3,Returning_Visitor,TRUE,FALSE
