ID,Rented Bike Count,Hour,Temperature,Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature,Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
8341,890,12.0,12.8,45,1.8,1170.0,1.1,1.82,0.0,0.0,Autumn,No Holiday,Yes
1965,358,20.0,1.8,19,3.1,2000.0,-19.4,0.0,0.0,0.0,Winter,No Holiday,Yes
6154,944,,31.0,56,,,21.1,1.32,0.0,,Summer,No Holiday,Yes
7269,1835,20.0,21.3,46,0.1,,,0.0,0.0,0.0,Autumn,,Yes
326,282,13.0,-3.8,32,0.9,1827.0,,0.52,0.0,0.0,Winter,No Holiday,Yes
5993,855,16.0,35.4,45,2.6,1529.0,21.6,1.84,,0.0,Summer,No Holiday,Yes
2339,165,10.0,3.6,88,2.6,681.0,1.7,0.44,0.0,0.0,Spring,,Yes
8722,825,9.0,1.8,37,,1310.0,-11.3,0.31,0.0,0.0,Autumn,No Holiday,Yes
3657,555,8.0,17.5,94,0.9,203.0,16.5,0.06,0.0,0.0,Spring,No Holiday,Yes
3568,1875,15.0,21.1,25,4.1,1885.0,0.2,2.96,0.0,0.0,Spring,No Holiday,Yes
2238,15,,,96,,196.0,8.1,0.0,,0.0,Spring,No Holiday,Yes
6148,345,3.0,28.4,73,1.4,1990.0,,0.0,0.0,0.0,Summer,No Holiday,Yes
5435,701,10.0,28.5,66,1.7,1319.0,21.5,1.83,0.0,0.0,Summer,No Holiday,Yes
8328,702,23.0,6.9,60,0.8,1610.0,-0.3,0.0,0.0,0.0,Autumn,No Holiday,Yes
8464,1047,15.0,,34,1.6,1806.0,-5.5,0.73,0.0,0.0,Autumn,No Holiday,
3393,600,,14.6,54,0.9,431.0,,0.89,,0.0,,No Holiday,Yes
6182,591,13.0,36.9,39,1.5,2000.0,20.6,2.46,0.0,0.0,Summer,Holiday,Yes
865,184,,-4.3,52,1.6,1247.0,,0.0,0.0,0.0,Winter,No Holiday,Yes
6629,153,4.0,24.0,70,1.2,2000.0,18.1,0.0,0.0,0.0,,No Holiday,Yes
8737,474,,1.8,62,1.6,,-4.7,0.0,0.0,0.0,,No Holiday,Yes
8708,1039,,6.0,24,3.0,1861.0,-13.0,0.0,0.0,,Autumn,No Holiday,Yes
4510,1935,21.0,,72,,923.0,16.8,0.0,0.0,0.0,Summer,Holiday,Yes
6433,1163,0.0,22.8,78,1.5,2000.0,18.7,0.0,0.0,0.0,Summer,No Holiday,Yes
372,239,,-5.2,30,4.0,1991.0,-20.1,0.86,0.0,0.0,Winter,No Holiday,Yes
6101,260,,28.1,63,0.8,2000.0,20.3,0.0,0.0,,Summer,No Holiday,Yes
4373,265,4.0,18.1,76,1.8,561.0,13.7,0.0,0.0,0.0,,No Holiday,Yes
4481,1434,,28.8,38,3.1,1027.0,13.0,,0.0,0.0,,,Yes
2543,660,,4.9,46,0.8,2000.0,,0.0,0.0,0.0,Spring,,Yes
7320,1057,23.0,13.4,69,3.7,2000.0,,0.0,0.0,0.0,Autumn,,Yes
4611,353,2.0,19.2,60,1.5,2000.0,11.2,,0.0,,Summer,No Holiday,
6859,3256,18.0,27.0,44,,2000.0,13.6,0.62,0.0,0.0,,No Holiday,Yes
5203,2594,18.0,26.8,71,1.2,2000.0,,0.21,0.0,0.0,Summer,,Yes
8568,488,23.0,,37,2.9,2000.0,-12.6,0.0,0.0,0.0,Autumn,No Holiday,Yes
2365,510,12.0,6.8,51,1.0,1617.0,-2.6,1.13,,0.0,Spring,No Holiday,Yes
1361,147,16.0,-10.8,28,2.7,1778.0,-25.8,0.77,0.0,0.4,Winter,,Yes
912,149,23.0,1.1,39,0.6,1422.0,-11.3,0.0,0.0,,Winter,No Holiday,Yes
4058,676,,11.4,74,1.3,2000.0,6.9,0.0,0.0,0.0,Spring,,Yes
5503,695,6.0,23.7,83,0.1,713.0,20.6,0.03,0.0,0.0,Summer,,Yes
4982,24,,,97,1.2,338.0,,,14.5,0.0,Summer,,Yes
6409,980,0.0,,81,2.4,1976.0,19.7,0.0,0.0,0.0,Summer,No Holiday,Yes
3001,436,0.0,9.5,61,1.7,2000.0,,0.0,0.0,0.0,Spring,,Yes
5213,273,4.0,,66,0.9,,15.9,0.0,0.0,0.0,Summer,No Holiday,Yes
965,31,4.0,-6.6,72,2.2,2000.0,-10.8,0.0,0.0,,Winter,No Holiday,Yes
6962,337,1.0,,73,1.9,1693.0,15.4,,0.0,0.0,Autumn,No Holiday,Yes
1424,231,7.0,-11.1,37,1.6,2000.0,-22.9,0.0,0.0,0.0,Winter,No Holiday,Yes
123,117,2.0,-3.0,79,0.0,1862.0,-6.1,0.0,0.0,0.4,Winter,No Holiday,Yes
480,153,23.0,-1.1,87,1.4,,-2.9,0.0,0.0,2.2,Winter,No Holiday,Yes
663,311,,0.8,55,1.8,1132.0,-7.2,0.59,0.0,,Winter,,Yes
5716,371,,27.6,80,1.6,929.0,23.8,0.0,0.0,0.0,Summer,No Holiday,Yes
6487,581,6.0,22.5,90,0.6,1149.0,,0.0,0.0,0.0,Summer,No Holiday,Yes
5486,763,,,53,3.2,1162.0,20.3,2.63,0.0,0.0,Summer,,Yes
6054,283,5.0,26.1,83,0.3,1617.0,22.9,0.0,,0.0,Summer,No Holiday,Yes
4820,2809,19.0,23.3,59,2.6,1214.0,14.8,0.28,0.0,0.0,Summer,No Holiday,Yes
440,165,7.0,-4.4,64,2.8,1367.0,-10.1,0.0,0.0,,Winter,No Holiday,Yes
1380,125,11.0,-9.6,33,1.1,,-22.9,0.9,0.0,0.3,Winter,No Holiday,Yes
3028,18,3.0,7.2,96,0.8,,6.5,0.0,,0.0,Spring,,Yes
8252,0,,,71,2.7,589.0,6.7,0.0,0.0,0.0,Autumn,No Holiday,No
1444,54,3.0,-10.7,42,1.4,,-21.1,,0.0,0.0,Winter,No Holiday,Yes
5707,2367,,33.2,59,1.8,1069.0,24.0,0.99,0.0,0.0,Summer,No Holiday,Yes
3734,1408,13.0,22.7,35,3.4,1794.0,6.4,2.51,,0.0,Spring,No Holiday,Yes
1478,171,13.0,-0.8,39,2.6,1853.0,-13.0,0.54,0.0,2.8,Winter,No Holiday,Yes
7816,1167,15.0,20.2,31,1.6,855.0,2.5,,0.0,0.0,,No Holiday,Yes
1174,339,21.0,0.8,45,1.5,1184.0,-9.8,0.0,0.0,,Winter,No Holiday,Yes
5256,1416,23.0,,51,1.7,2000.0,11.1,0.0,,0.0,Summer,No Holiday,Yes
5662,1899,21.0,30.2,65,2.3,1642.0,22.8,0.0,0.0,0.0,Summer,No Holiday,Yes
3146,0,1.0,13.6,81,3.6,886.0,10.3,0.0,0.0,0.0,Spring,,No
5200,1011,15.0,28.8,66,0.9,1806.0,21.8,1.55,0.0,0.0,Summer,No Holiday,Yes
4862,1147,13.0,27.3,33,3.4,1921.0,9.6,3.42,0.0,0.0,Summer,No Holiday,Yes
4902,339,5.0,21.1,48,0.3,2000.0,9.6,0.0,0.0,0.0,Summer,No Holiday,Yes
2670,81,5.0,1.1,88,0.9,927.0,-0.6,,0.0,0.0,Spring,No Holiday,Yes
280,250,15.0,-5.8,30,2.8,2000.0,-20.6,0.92,0.0,0.0,Winter,No Holiday,
5027,826,10.0,25.3,70,0.6,1386.0,19.4,0.7,0.0,0.0,Summer,No Holiday,Yes
5144,1308,7.0,23.5,86,0.2,1908.0,,0.38,,0.0,Summer,No Holiday,Yes
5618,542,1.0,30.0,52,1.5,1774.0,19.0,0.0,0.0,0.0,Summer,No Holiday,Yes
2572,174,,5.5,57,1.1,1079.0,-2.3,0.0,0.0,0.0,Spring,No Holiday,Yes
5365,991,12.0,27.4,80,2.7,1083.0,23.6,0.97,0.0,0.0,Summer,No Holiday,Yes
1102,334,,3.4,59,0.8,471.0,-3.8,0.0,0.0,0.0,Winter,,Yes
569,54,,2.3,91,,270.0,0.9,0.07,,0.0,Winter,Holiday,Yes
1695,283,14.0,4.0,25,0.9,1009.0,-14.3,1.06,,0.0,Winter,No Holiday,Yes
6776,366,7.0,15.7,68,0.9,2000.0,9.8,0.05,0.0,0.0,Autumn,,Yes
7526,1015,13.0,14.3,43,3.6,,1.8,1.86,0.0,0.0,Autumn,No Holiday,Yes
8452,258,3.0,2.5,49,0.2,2000.0,-7.1,0.0,0.0,0.0,Autumn,No Holiday,Yes
7283,0,10.0,20.7,62,1.3,1679.0,13.1,1.41,0.0,0.0,Autumn,No Holiday,No
7689,2202,8.0,9.2,68,0.2,952.0,3.5,0.28,0.0,0.0,Autumn,No Holiday,Yes
578,132,1.0,-1.2,57,,1429.0,-8.6,0.0,0.0,0.0,Winter,,Yes
60,273,11.0,5.1,87,1.4,321.0,3.1,0.25,0.0,0.0,Winter,No Holiday,Yes
788,403,19.0,-1.3,28,2.4,2000.0,-17.5,0.0,0.0,0.0,Winter,No Holiday,Yes
3335,1003,22.0,11.3,42,1.6,1189.0,-1.1,0.0,0.0,0.0,Spring,No Holiday,Yes
4047,697,,16.7,88,1.5,1760.0,,,0.0,0.0,Spring,No Holiday,Yes
8529,1622,8.0,6.4,86,0.9,450.0,4.2,0.03,0.0,0.0,Autumn,No Holiday,Yes
5935,222,6.0,27.3,83,1.4,1080.0,24.1,,0.0,,Summer,No Holiday,Yes
4993,513,0.0,20.5,94,3.7,896.0,,,0.0,0.0,Summer,No Holiday,Yes
2996,1626,19.0,14.3,53,2.1,2000.0,4.8,0.17,0.0,0.0,Spring,No Holiday,Yes
5508,701,11.0,30.2,53,,1143.0,19.5,2.77,0.0,0.0,Summer,No Holiday,Yes
3088,343,15.0,7.3,38,0.8,2000.0,-6.1,0.38,0.0,0.0,Spring,No Holiday,Yes
4039,77,6.0,,98,0.3,234.0,17.0,,0.0,0.0,Spring,No Holiday,Yes
4483,3227,18.0,27.1,40,2.8,1811.0,12.3,1.0,0.0,0.0,Summer,No Holiday,Yes
4353,2281,8.0,16.9,65,1.6,896.0,10.2,1.21,,0.0,Spring,,Yes
336,211,,-5.6,53,1.2,1290.0,-13.6,0.0,0.0,0.0,Winter,,Yes
6794,487,,,58,,2000.0,11.9,0.0,,0.0,Autumn,No Holiday,Yes
4388,2505,19.0,26.8,35,1.9,,10.0,0.54,0.0,0.0,Summer,No Holiday,Yes
3152,0,7.0,8.8,85,,438.0,6.4,,,0.0,Spring,No Holiday,No
5621,174,4.0,29.3,51,0.9,1498.0,18.1,0.0,0.0,0.0,Summer,No Holiday,Yes
7865,1492,16.0,18.2,42,1.3,1976.0,5.0,1.22,0.0,0.0,,No Holiday,Yes
185,401,,-1.1,24,3.4,2000.0,-19.1,0.56,0.0,0.0,Winter,No Holiday,
3275,700,10.0,12.4,34,1.2,,-3.0,2.24,0.0,0.0,Spring,No Holiday,Yes
8225,14,16.0,11.7,96,1.4,587.0,11.0,0.02,0.0,0.0,,No Holiday,Yes
421,62,,-1.8,83,1.2,351.0,-4.3,0.09,1.1,5.1,Winter,No Holiday,Yes
2351,498,22.0,2.8,74,2.1,469.0,-1.3,0.0,0.0,0.0,Spring,No Holiday,Yes
554,251,1.0,5.6,78,0.5,197.0,2.0,0.0,,0.0,Winter,Holiday,Yes
1398,21,5.0,-7.5,33,1.5,2000.0,,,0.0,0.0,Winter,No Holiday,Yes
1385,195,16.0,-3.7,25,2.6,1839.0,-20.9,,0.0,0.0,Winter,No Holiday,Yes
6650,486,1.0,,97,,570.0,20.7,0.0,0.0,0.0,Autumn,,
3640,1639,15.0,23.1,61,2.5,556.0,15.1,1.5,0.0,0.0,Spring,Holiday,Yes
1761,517,8.0,-9.1,33,2.1,1998.0,-22.4,0.03,,0.0,Winter,No Holiday,Yes
6166,1684,21.0,,59,0.3,2000.0,22.3,0.0,0.0,0.0,Summer,No Holiday,Yes
298,340,9.0,-11.1,46,3.4,1981.0,-20.4,0.1,0.0,0.0,Winter,No Holiday,Yes
444,174,,-3.5,35,2.2,1742.0,-16.7,0.87,0.0,2.5,Winter,No Holiday,Yes
778,315,9.0,-3.1,66,0.2,1168.0,-8.5,,,,Winter,No Holiday,Yes
1120,250,15.0,6.3,40,0.3,498.0,,,0.0,0.0,Winter,No Holiday,Yes
6466,75,9.0,21.5,97,,1543.0,20.9,0.19,0.5,0.0,Summer,No Holiday,Yes
7543,518,6.0,6.6,65,1.6,2000.0,0.4,0.0,0.0,0.0,Autumn,No Holiday,Yes
6171,676,2.0,29.5,68,0.4,1949.0,22.9,0.0,0.0,0.0,Summer,Holiday,Yes
1922,101,1.0,-1.4,42,,1805.0,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes
656,257,7.0,-5.0,31,0.5,,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2230,588,,10.3,52,2.2,1843.0,0.8,0.0,0.0,0.0,Spring,,Yes
2538,1160,17.0,,30,1.5,2000.0,-5.7,1.44,0.0,0.0,Spring,No Holiday,Yes
2946,1569,17.0,22.0,49,3.7,1582.0,10.7,1.28,0.0,0.0,,No Holiday,Yes
6423,1261,,29.2,52,3.1,1735.0,18.3,2.68,0.0,0.0,Summer,No Holiday,Yes
2541,774,20.0,6.7,41,1.0,2000.0,-5.6,0.0,0.0,0.0,Spring,No Holiday,Yes
6315,376,2.0,27.6,60,,1854.0,19.1,0.0,0.0,0.0,Summer,No Holiday,Yes
4923,1254,2.0,20.9,87,1.8,222.0,18.6,0.0,0.0,0.0,Summer,No Holiday,Yes
2458,616,9.0,,44,0.3,743.0,-2.2,0.33,0.0,0.0,Spring,No Holiday,Yes
2579,460,,7.2,53,,709.0,-1.7,0.45,0.0,0.0,Spring,No Holiday,
7186,680,,17.7,54,1.8,2000.0,8.2,,0.0,0.0,,No Holiday,Yes
5994,1232,17.0,35.6,44,2.4,1860.0,21.4,1.69,0.0,0.0,Summer,,Yes
7430,529,,17.7,89,5.0,2000.0,15.8,0.62,0.5,0.0,Autumn,No Holiday,Yes
2759,424,22.0,8.8,79,2.0,203.0,5.3,,0.0,0.0,Spring,No Holiday,Yes
6691,3160,18.0,27.0,45,2.4,2000.0,14.0,0.77,0.0,0.0,Autumn,No Holiday,Yes
3652,170,3.0,18.5,82,0.8,342.0,15.3,,0.0,0.0,Spring,,Yes
559,12,6.0,4.9,84,1.3,159.0,,0.0,0.1,0.0,,Holiday,Yes
7805,110,,10.0,62,0.6,1759.0,3.0,,0.0,0.0,Autumn,No Holiday,Yes
1372,41,3.0,-15.3,43,0.8,1963.0,-25.0,0.0,0.0,,Winter,No Holiday,Yes
8557,717,12.0,5.9,23,2.8,1985.0,-13.7,1.88,,0.0,,,
908,246,19.0,1.6,35,1.0,1419.0,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes
4551,1249,14.0,25.0,54,2.2,1146.0,,1.86,0.0,0.0,Summer,No Holiday,Yes
1434,239,17.0,-5.7,30,3.6,1978.0,,0.4,0.0,0.0,Winter,No Holiday,Yes
7387,0,18.0,23.1,48,1.3,2000.0,,0.2,0.0,0.0,,No Holiday,No
5118,28,5.0,20.7,97,0.3,2000.0,20.2,0.0,,0.0,Summer,No Holiday,Yes
3519,1123,14.0,21.6,28,3.1,1414.0,2.2,2.84,0.0,0.0,Spring,No Holiday,Yes
6920,453,7.0,21.2,84,0.3,2000.0,18.3,0.05,0.0,0.0,Autumn,,Yes
4656,1657,23.0,19.5,72,0.6,1989.0,14.3,,0.0,0.0,Summer,No Holiday,Yes
927,349,14.0,3.4,31,1.4,,-12.1,,0.0,0.0,Winter,No Holiday,Yes
5313,2017,,21.7,89,0.5,2000.0,19.8,0.31,0.0,0.0,Summer,No Holiday,Yes
2471,912,22.0,13.5,81,2.8,933.0,,0.0,,0.0,Spring,No Holiday,Yes
16,463,15.0,2.1,36,3.2,2000.0,-11.4,0.54,0.0,0.0,Winter,,Yes
144,193,,1.3,92,0.6,209.0,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes
7980,796,11.0,11.0,46,2.6,1946.0,-0.1,1.97,0.0,0.0,Autumn,No Holiday,Yes
2364,444,11.0,5.9,51,0.7,,-3.4,0.91,0.0,0.0,Spring,No Holiday,Yes
5314,1061,9.0,22.3,86,1.0,2000.0,19.8,0.42,,0.0,Summer,No Holiday,Yes
6622,1759,21.0,26.2,62,2.3,2000.0,18.3,0.0,0.0,0.0,Autumn,No Holiday,Yes
1162,305,9.0,1.2,84,2.1,210.0,-1.2,0.07,0.0,0.0,Winter,No Holiday,Yes
4476,974,11.0,26.8,37,1.6,1639.0,10.8,2.91,0.0,0.0,Summer,No Holiday,Yes
2997,1374,,12.8,56,2.0,2000.0,4.2,0.0,0.0,,Spring,No Holiday,Yes
6621,1838,20.0,26.9,56,1.6,2000.0,17.3,,0.0,0.0,,No Holiday,Yes
8238,0,,10.9,68,3.1,1034.0,5.2,0.0,,0.0,Autumn,,No
3785,2213,16.0,24.5,38,2.2,1903.0,9.2,1.1,0.0,0.0,Spring,No Holiday,
2894,1218,13.0,19.3,37,3.0,1257.0,,2.53,0.0,0.0,,,Yes
1363,305,18.0,-12.7,33,2.5,1835.0,-25.6,0.05,0.0,,Winter,No Holiday,Yes
5665,939,0.0,28.9,66,2.2,2000.0,21.9,0.0,,0.0,Summer,No Holiday,Yes
1213,325,12.0,5.3,55,2.6,904.0,-3.0,0.85,0.0,0.0,Winter,No Holiday,Yes
1877,20,4.0,-5.2,28,2.5,2000.0,-20.9,0.0,0.0,0.0,Winter,Holiday,Yes
5332,157,,24.5,97,,263.0,23.9,,0.5,0.0,,No Holiday,Yes
7655,1377,22.0,,83,1.5,227.0,11.9,0.0,0.0,0.0,Autumn,,Yes
6505,208,0.0,22.7,96,0.3,2000.0,22.0,0.0,1.0,0.0,Summer,No Holiday,Yes
7211,907,10.0,19.9,47,1.8,1989.0,8.2,1.93,0.0,0.0,Autumn,,Yes
4691,532,10.0,19.7,94,1.1,497.0,18.7,0.61,1.0,0.0,Summer,No Holiday,Yes
7275,0,,,68,0.7,2000.0,11.3,0.0,0.0,0.0,Autumn,No Holiday,No
1171,506,,2.0,39,2.1,1259.0,-10.5,0.01,0.0,0.0,Winter,No Holiday,Yes
580,100,3.0,-2.3,52,3.4,1947.0,-10.8,0.0,0.0,0.0,Winter,Holiday,Yes
2183,190,22.0,-3.6,52,3.7,1277.0,-12.0,0.0,0.0,,Spring,Holiday,Yes
6337,1025,,25.1,79,0.5,,21.1,0.0,0.0,0.0,Summer,No Holiday,Yes
3012,47,11.0,7.1,93,2.6,697.0,6.0,0.19,,0.0,Spring,,Yes
3480,725,23.0,9.6,44,0.7,2000.0,-2.0,0.0,0.0,0.0,Spring,No Holiday,Yes
1834,112,,-3.5,30,1.5,1980.0,,0.0,,0.0,Winter,,Yes
8640,379,,3.8,83,1.1,390.0,1.1,0.0,0.0,0.4,Autumn,No Holiday,Yes
3746,181,1.0,18.2,71,1.6,1328.0,12.8,0.0,0.0,0.0,Spring,No Holiday,Yes
1860,93,11.0,1.0,25,,1782.0,-16.8,1.7,0.0,0.0,Winter,Holiday,Yes
7638,209,5.0,11.1,79,0.3,,7.5,0.0,0.0,0.0,Autumn,No Holiday,Yes
3236,612,19.0,9.5,76,2.3,2000.0,5.4,0.02,0.0,,Spring,No Holiday,Yes
2686,726,,4.5,62,2.0,826.0,-2.1,,0.0,0.0,Spring,,Yes
